timestamp,Fx,Fy,Fz,Mx,My,Mz
2022-12-19 14:56:33.2765004 +0300 EAT m=+493.881083101,-0.14990887,-0.1573178,-0.15015087,-41.574192,9.460653,-0.8877607
2022-12-19 14:56:33.3763644 +0300 EAT m=+493.980947101,-0.32468557,-0.29627874,-0.44699323,-77.194595,-18.387207,-2.8827696
2022-12-19 14:56:33.4778067 +0300 EAT m=+494.082389401,-0.1986447,-0.20697246,-0.20825912,-54.109432,9.568951,-1.243985
2022-12-19 14:56:33.5811749 +0300 EAT m=+494.185757601,-0.0051284763,-0.10793489,0.11923979,-14.546268,40.01506,1.119742
2022-12-19 14:56:33.6801803 +0300 EAT m=+494.284763001,-0.31749192,-0.3781287,-0.40058354,-79.336365,-6.3444242,-2.3081868
2022-12-19 14:56:33.7901027 +0300 EAT m=+494.394685401,-0.17231558,-0.25807154,-0.16868965,-48.200195,12.102114,-0.76457745
2022-12-19 14:56:33.8822646 +0300 EAT m=+494.486847301,-0.2223596,-0.2405913,-0.26789796,-56.89969,-0.39593372,-1.6024817
2022-12-19 14:56:33.9830928 +0300 EAT m=+494.587675501,-0.010843125,0.009188599,0.076075904,-12.180507,28.450798,0.46579158
2022-12-19 14:56:34.0883031 +0300 EAT m=+494.692885801,-0.04256675,-0.05197783,0.02031454,-18.447397,22.786295,0.19760597
2022-12-19 14:56:34.1869314 +0300 EAT m=+494.791514101,-0.03526707,-0.094543874,0.047157064,-18.483862,28.549898,0.5227519
2022-12-19 14:56:34.3009948 +0300 EAT m=+494.905577501,-0.15350506,-0.24535263,-0.14016305,-44.005493,14.006163,-0.5664824
2022-12-19 14:56:34.3861269 +0300 EAT m=+494.990709601,-0.29108942,-0.39664045,-0.35596365,-73.93193,-2.2184887,-1.8910334
2022-12-19 14:56:34.4884666 +0300 EAT m=+495.093049301,-0.20802669,-0.27016473,-0.22540092,-55.89413,7.674609,-1.1938089
2022-12-19 14:56:34.5879183 +0300 EAT m=+495.192501001,-0.2562259,-0.42138043,-0.26426703,-70.254234,13.69646,-1.1164672
2022-12-19 14:56:34.6899715 +0300 EAT m=+495.294554201,-0.36302927,-0.44008285,-0.45720074,-90.80386,-6.9887657,-2.6106288
2022-12-19 14:56:34.8039193 +0300 EAT m=+495.408502001,-0.16452026,-0.29908058,-0.14913367,-47.277958,15.349362,-0.49249053
2022-12-19 14:56:34.8911331 +0300 EAT m=+495.495715801,-0.13521114,-0.26193354,-0.10797152,-40.39538,17.271185,-0.2576267
2022-12-19 14:56:34.992085 +0300 EAT m=+495.596667701,-0.24166857,-0.31410596,-0.28062028,-62.95294,2.9225957,-1.5137267
2022-12-19 14:56:35.1011425 +0300 EAT m=+495.705725201,-0.16441053,-0.28986275,-0.14581965,-47.585613,16.367878,-0.49708298
2022-12-19 14:56:35.1989352 +0300 EAT m=+495.803517901,-0.21029478,-0.38754794,-0.16217099,-63.434765,28.705595,-0.42044592
2022-12-19 14:56:35.2960499 +0300 EAT m=+495.900632601,-0.12766512,-0.26883608,-0.078943685,-40.568085,23.647137,-0.022962919
2022-12-19 14:56:35.3957009 +0300 EAT m=+496.000283601,-0.21355034,-0.22109964,-0.2453862,-55.900986,3.42175,-1.4876726
2022-12-19 14:56:35.4978632 +0300 EAT m=+496.102445901,-0.3579063,-0.48008987,-0.44009447,-90.6467,-3.4994404,-2.3641264
2022-12-19 14:56:35.6038187 +0300 EAT m=+496.208401401,-0.18661568,-0.30102995,-0.17166346,-53.363605,16.621782,-0.6891084
2022-12-19 14:56:35.7025927 +0300 EAT m=+496.307175401,-0.08397959,-0.09688829,-0.02616438,-29.404902,23.803072,-0.077322386
2022-12-19 14:56:35.8041928 +0300 EAT m=+496.408775501,-0.17198665,-0.27007306,-0.15695392,-49.312546,15.720629,-0.64842075
2022-12-19 14:56:35.8994381 +0300 EAT m=+496.504020801,-0.12168527,-0.22322096,-0.06496198,-39.753014,25.831724,-0.050015837
2022-12-19 14:56:36.0084414 +0300 EAT m=+496.613024101,-0.034168933,-0.18108943,0.058320217,-19.24117,31.672163,0.8580583
2022-12-19 14:56:36.1017121 +0300 EAT m=+496.706294801,0.065469526,0.045612,0.1864999,5.3968954,34.47724,1.2784306
2022-12-19 14:56:36.203648 +0300 EAT m=+496.808230701,-0.06267108,-0.11787506,0.005880606,-24.624681,25.864956,0.25033486
2022-12-19 14:56:36.3090769 +0300 EAT m=+496.913659601,-0.11292534,-0.23870516,-0.06944066,-35.92522,21.040735,-0.014974772
2022-12-19 14:56:36.4248257 +0300 EAT m=+497.029408401,-0.27169743,-0.3311195,-0.32337394,-69.94325,0.77340317,-1.820793
2022-12-19 14:56:36.5055095 +0300 EAT m=+497.110092201,-0.11509603,-0.20702243,-0.10114559,-33.411186,11.756197,-0.32943863
2022-12-19 14:56:36.6070873 +0300 EAT m=+497.211670001,-0.16644311,-0.2417292,-0.15084164,-47.834217,15.555158,-0.67866904
2022-12-19 14:56:36.7137774 +0300 EAT m=+497.318360101,-0.32602587,-0.36481652,-0.44239372,-78.1933,-16.421942,-2.6509883
2022-12-19 14:56:36.8100092 +0300 EAT m=+497.414591901,-0.15217137,-0.24562618,-0.14522167,-42.96089,11.879646,-0.5970917
2022-12-19 14:56:36.9148641 +0300 EAT m=+497.519446801,-0.0032062656,-0.036326457,0.087755136,-10.487822,29.242373,0.6973511
2022-12-19 14:56:37.0247246 +0300 EAT m=+497.629307301,0.018359108,-0.111913204,0.14218627,-7.971365,38.340725,1.3398947
2022-12-19 14:56:37.1132732 +0300 EAT m=+497.717855901,0.016215878,-0.02331503,0.12846638,-7.3445635,34.80303,0.97878236
2022-12-19 14:56:37.2120902 +0300 EAT m=+497.816672901,-0.15636252,-0.22642957,-0.14784063,-44.28983,12.654248,-0.68123233
