timestamp,Fx,Fy,Fz,Mx,My,Mz
2022-12-19 14:55:31.507211 +0300 EAT m=+432.111793701,-0.14497374,-0.27826488,-0.10373953,-44.58119,22.359688,-0.2021154
2022-12-19 14:55:31.6020004 +0300 EAT m=+432.206583101,-0.25829908,-0.478366,-0.23481627,-74.15588,23.88117,-0.7516578
2022-12-19 14:55:31.7049112 +0300 EAT m=+432.309493901,-0.3495425,-0.60588694,-0.39317206,-92.39436,8.247649,-1.6529672
2022-12-19 14:55:31.8090308 +0300 EAT m=+432.413613501,-0.23698662,-0.41051915,-0.23371394,-66.10914,16.082855,-0.8981236
2022-12-19 14:55:31.9096558 +0300 EAT m=+432.514238501,-0.1477792,-0.33379096,-0.09429016,-46.65281,26.438366,0.02074207
2022-12-19 14:55:32.0097366 +0300 EAT m=+432.614319301,-0.09223064,-0.27953556,-0.018634873,-33.359707,29.32375,0.4977854
2022-12-19 14:55:32.114418 +0300 EAT m=+432.719000701,-0.18062161,-0.33612204,-0.14061482,-54.34396,24.230715,-0.36046544
2022-12-19 14:55:32.2118312 +0300 EAT m=+432.816413901,-0.05738679,-0.30240712,0.059125926,-28.219051,40.796585,1.1720121
2022-12-19 14:55:32.3246647 +0300 EAT m=+432.929247401,-0.14860085,-0.26409143,-0.09514644,-46.877163,26.497217,-0.19385545
2022-12-19 14:55:32.4213469 +0300 EAT m=+433.025929601,-0.29124925,-0.4307577,-0.35352626,-74.250336,-1.387439,-1.7735202
2022-12-19 14:55:32.5102868 +0300 EAT m=+433.114869501,-0.2313091,-0.3753296,-0.23411699,-63.892017,13.78723,-0.9926958
2022-12-19 14:55:32.6126244 +0300 EAT m=+433.217207101,-0.19975173,-0.41707546,-0.16426653,-59.175465,23.988785,-0.32353318
2022-12-19 14:55:32.7122666 +0300 EAT m=+433.316849301,-0.26804638,-0.4269425,-0.31398758,-69.53527,2.3476493,-1.4643334
2022-12-19 14:55:32.8158829 +0300 EAT m=+433.420465601,-0.3659728,-0.5516821,-0.44841912,-92.8579,-3.0844352,-2.226132
2022-12-19 14:55:32.9164399 +0300 EAT m=+433.521022601,-0.35313827,-0.57500577,-0.42489743,-90.42401,-0.4975003,-1.9683653
2022-12-19 14:55:33.0212129 +0300 EAT m=+433.625795601,-0.363165,-0.516211,-0.4506882,-91.54303,-4.876152,-2.3406212
2022-12-19 14:55:33.117871 +0300 EAT m=+433.722453701,-0.27311364,-0.45182833,-0.31710076,-71.14762,3.2891524,-1.4229007
2022-12-19 14:55:33.2204465 +0300 EAT m=+433.825029201,-0.35501,-0.5027987,-0.44087738,-89.45475,-4.8650346,-2.2955718
2022-12-19 14:55:33.3207319 +0300 EAT m=+433.925314601,-0.24926242,-0.43141884,-0.2567969,-68.37532,13.410855,-1.0203592
2022-12-19 14:55:33.4254012 +0300 EAT m=+434.029983901,-0.17593245,-0.37381658,-0.13810205,-52.81307,23.226732,-0.22101498
